,wind_speed,hourly_highest,hourly_lowest,24_avg_temp,sunshine_duration,24_precipitation,24_avg_humidity,evaporation,Year-Month,flu: (Netherlands),Influenza: (Netherlands),Griep: (Netherlands),Total Search,ISO_YEAR,ISO_WEEK,INF_A,INF_B,ILI_ACTIVITY,SPEC_PROCESSED_NB
29,31.483870967741936,50.32258064516129,18.70967741935484,35.193548387096776,22.322580645161292,27.774193548387096,90.09677419354838,2.838709677419355,2011-01,16,17,21,54,10055,15,460.0,232.0,30.0,1915.0
30,41.607142857142854,60.357142857142854,28.214285714285715,45.785714285714285,23.642857142857142,22.571428571428573,86.46428571428571,4.535714285714286,2011-02,9,10,8,27,8044,30,65.0,117.0,24.0,815.0
31,28.29032258064516,49.03225806451613,14.516129032258064,60.483870967741936,59.774193548387096,7.645161290322581,80.0,13.225806451612904,2011-03,8,10,3,21,8044,46,3.0,25.0,14.0,338.0
32,27.866666666666667,50.666666666666664,14.666666666666666,131.16666666666666,82.86666666666666,2.6,69.93333333333334,26.2,2011-04,5,6,2,13,8044,62,1.0,1.0,12.0,130.0
33,31.838709677419356,53.87096774193548,17.096774193548388,139.74193548387098,81.25806451612904,9.741935483870968,68.35483870967742,30.225806451612904,2011-05,5,7,1,13,10055,100,0.0,0.0,11.0,74.0
34,29.766666666666666,52.333333333333336,15.666666666666666,161.16666666666666,70.5,38.06666666666667,75.66666666666667,30.733333333333334,2011-06,5,6,1,12,8044,98,0.0,0.0,7.0,48.0
35,28.032258064516128,49.354838709677416,13.225806451612904,158.90322580645162,50.774193548387096,57.645161290322584,78.0,26.35483870967742,2011-07,5,3,1,9,8044,114,0.0,0.0,8.0,44.0
36,23.06451612903226,46.45161290322581,11.290322580645162,168.8709677419355,44.54838709677419,30.741935483870968,82.25806451612904,22.64516129032258,2011-08,6,5,1,12,10055,165,1.0,0.0,10.0,48.0
37,28.966666666666665,51.0,17.0,156.4,52.833333333333336,29.566666666666666,83.23333333333333,17.933333333333334,2011-09,7,7,2,16,8044,150,0.0,0.0,8.0,96.0
38,31.677419354838708,50.32258064516129,17.419354838709676,114.19354838709677,48.74193548387097,21.870967741935484,83.70967741935483,10.193548387096774,2011-10,9,7,3,19,10055,210,0.0,3.0,10.0,149.0
39,29.166666666666668,46.333333333333336,16.0,71.9,32.53333333333333,3.433333333333333,90.56666666666666,4.633333333333334,2011-11,8,8,3,19,8044,186,11.0,6.0,16.0,296.0
40,42.903225806451616,68.70967741935483,27.741935483870968,64.80645161290323,16.93548387096774,44.806451612903224,83.35483870967742,2.3225806451612905,2011-12,8,7,3,18,8044,202,7.0,1.0,16.0,540.0
41,39.0,59.03225806451613,25.161290322580644,48.806451612903224,21.612903225806452,27.161290322580644,84.38709677419355,2.838709677419355,2012-01,7,8,3,18,10060,15,21.0,0.0,20.0,746.0
