wind_speed;hourly_highest;hourly_lowest;24_avg_temp;sunshine_duration;24_precipitation;24_avg_humidity;evaporation;Year-Month;flu: (Netherlands);Influenza: (Netherlands);Griep: (Netherlands);Total Search;ISO_YEAR;ISO_WEEK;INF_A;INF_B;ILI_ACTIVITY;SPEC_PROCESSED_NB
28.166666666666668;50.333333333333336;14.666666666666666;180.43333333333334;71.3;20.2;70.96666666666667;33.0;2017-06;7;4;1;12;8068;98;1.0;2.0;0.0;21.0
22.741935483870968;49.354838709677416;10.32258064516129;179.4516129032258;63.903225806451616;42.32258064516129;76.87096774193549;31.193548387096776;2017-07;8;4;1;13;10085;145;6.0;1.0;0.0;27.0
18.774193548387096;41.935483870967744;10.32258064516129;172.48387096774192;58.0;17.096774193548388;78.96774193548387;25.612903225806452;2017-08;7;4;1;12;8068;134;3.0;1.0;0.0;18.0
24.7;43.666666666666664;13.666666666666666;136.76666666666668;47.833333333333336;40.3;85.53333333333333;16.5;2017-09;11;6;3;20;8068;150;1.0;1.0;0.0;65.0
34.74193548387097;55.806451612903224;19.677419354838708;133.41935483870967;35.483870967741936;27.387096774193548;82.6774193548387;9.193548387096774;2017-10;14;9;3;26;20170;420;18.0;12.0;0.0;135.0
27.466666666666665;47.0;15.0;72.63333333333334;21.333333333333332;24.7;87.26666666666667;3.7;2017-11;12;7;3;22;16136;372;21.0;17.0;0.0;254.0
33.61290322580645;56.45161290322581;20.322580645161292;48.806451612903224;7.967741935483871;52.29032258064516;89.25806451612904;1.5806451612903225;2017-12;14;13;5;32;16136;404;53.0;208.0;0.0;852.0
38.903225806451616;65.80645161290323;23.225806451612904;56.225806451612904;15.225806451612904;27.419354838709676;85.83870967741936;2.7096774193548385;2018-01;25;22;13;60;20180;30;193.0;729.0;0.0;1824.0
35.17857142857143;58.214285714285715;20.357142857142858;6.821428571428571;56.857142857142854;6.892857142857143;76.53571428571429;7.214285714285714;2018-02;25;32;20;77;16144;60;261.0;662.0;0.0;1386.0
37.483870967741936;63.225806451612904;23.870967741935484;47.38709677419355;42.67741935483871;19.0;76.6774193548387;10.774193548387096;2018-03;17;22;13;52;16144;92;310.0;320.0;0.0;928.0
